next_date,asof,ret,n_holdings
2000-02-29,2000-01-31,0.14634218688375125,50
2000-03-31,2000-02-29,0.061452733727950806,50
2000-04-28,2000-03-31,-0.04587303665298874,50
2000-05-31,2000-04-28,-0.017478603690135916,50
2000-06-30,2000-05-31,0.04527699659274402,50
2000-07-31,2000-06-30,-0.03082675965504121,50
2000-08-31,2000-07-31,0.1485224004632141,50
2000-09-29,2000-08-31,-0.04138498284601903,50
2000-10-31,2000-09-29,-0.058435078527804295,50
2000-11-30,2000-10-31,-0.1412775377575696,50
2000-12-29,2000-11-30,0.08720323295124184,50
2001-01-31,2000-12-29,0.04073777679729948,50
2001-02-28,2001-01-31,-0.00390111515514506,50
2001-03-30,2001-02-28,-0.0015293900228930644,50
2001-04-30,2001-03-30,0.04514748564822438,50
2001-05-31,2001-04-30,0.014301464069048447,50
2001-06-29,2001-05-31,-0.040159812649735165,50
2001-07-31,2001-06-29,-0.018869161365045812,50
2001-08-31,2001-07-31,-0.022164728005842516,50
2001-09-28,2001-08-31,-0.10047635113071855,50
2001-10-31,2001-09-28,-0.007605774669199752,50
2001-11-30,2001-10-31,0.06632545488232827,50
2001-12-31,2001-11-30,0.03979664377592035,50
2002-01-31,2001-12-31,-0.0009952236478134278,50
2002-02-28,2002-01-31,-0.007823277388870831,50
2002-03-28,2002-02-28,0.044147477520884264,50
2002-04-30,2002-03-28,0.0006234794701112783,50
2002-05-31,2002-04-30,0.02268166317156009,50
2002-06-28,2002-05-31,-0.049923681176972136,50
2002-07-31,2002-06-28,-0.0850961139763773,50
2002-08-30,2002-07-31,0.018090461329948314,50
2002-09-30,2002-08-30,-0.08163729090727581,50
2002-10-31,2002-09-30,0.03191809702079629,50
2002-11-29,2002-10-31,0.07358348349709129,50
2002-12-31,2002-11-29,-0.0008663528734874507,50
2003-01-31,2002-12-31,-0.0032002412544613907,50
2003-02-28,2003-01-31,-0.01600242284082024,50
2003-03-31,2003-02-28,0.013203141406515888,50
2003-04-30,2003-03-31,0.05942661089816132,50
2003-05-30,2003-04-30,0.09062797940185656,50
2003-06-30,2003-05-30,0.011272555273877044,50
2003-07-31,2003-06-30,-0.023333590631878107,50
2003-08-29,2003-07-31,0.055783652675552194,50
2003-09-30,2003-08-29,0.002601696083320137,50
2003-10-31,2003-09-30,0.10437749571650767,50
2003-11-28,2003-10-31,0.017088347673409245,50
2003-12-31,2003-11-28,0.02390162999600406,50
2004-01-30,2003-12-31,0.03592649750996949,50
2004-02-27,2004-01-30,0.007340877536174578,50
2004-03-31,2004-02-27,0.008937866457610395,50
2004-04-30,2004-03-31,-0.059367436908939905,50
2004-05-28,2004-04-30,0.04692120084571218,50
2004-06-30,2004-05-28,0.053681359019899434,50
2004-07-30,2004-06-30,-0.04548872057494575,50
2004-08-31,2004-07-30,-0.033580963566918,50
2005-01-31,2004-12-31,0.012479445546406124,50
2005-02-28,2005-01-31,0.07477135896075571,50
2005-03-31,2005-02-28,-0.00035316547512088785,50
2005-04-29,2005-03-31,-0.05168081616386436,50
2005-05-31,2005-04-29,0.047721745169907,50
2005-06-30,2005-05-31,0.04836829096508054,50
2005-07-29,2005-06-30,0.07846882810928596,50
2005-08-31,2005-07-29,0.024265737005247204,50
2005-09-30,2005-08-31,0.03958329622981956,50
2005-10-31,2005-09-30,-0.05707641612071227,50
2005-11-30,2005-10-31,0.03619021927331633,50
2005-12-30,2005-11-30,0.03210219325380372,50
2006-01-31,2005-12-30,0.08865241415437974,50
2006-02-28,2006-01-31,-0.05486449599615637,50
2006-03-31,2006-02-28,0.029647953817140863,50
2006-04-28,2006-03-31,0.018681007756178033,50
2006-05-31,2006-04-28,-0.045213690387318345,50
2006-06-30,2006-05-31,-0.010305983316951027,50
2006-07-31,2006-06-30,-0.02321824280098823,50
2006-08-31,2006-07-31,0.0002432620831778697,50
2006-09-29,2006-08-31,0.005787556827259708,50
2006-10-31,2006-09-29,0.05382493741275844,50
2006-11-30,2006-10-31,0.02978406579868873,50
2006-12-29,2006-11-30,0.009133907063094653,50
2007-01-31,2006-12-29,0.02380104654312254,50
2007-02-28,2007-01-31,-0.013578826680623348,50
2007-03-30,2007-02-28,0.009735410448632029,50
2007-04-30,2007-03-30,0.0378897516823094,50
2007-05-31,2007-04-30,0.013345125003098979,50
2007-06-29,2007-05-31,-0.03328296136063942,50
2007-07-31,2007-06-29,-0.047727751632095264,50
2007-08-31,2007-07-31,-0.009404274799885627,50
2007-09-28,2007-08-31,0.06313758718998153,50
2007-10-31,2007-09-28,0.028721895651785456,50
2007-11-30,2007-10-31,-0.0647015596520301,50
2007-12-31,2007-11-30,0.041323471319717885,50
2008-01-31,2007-12-31,-0.114094656723973,50
2008-02-29,2008-01-31,-0.005644444101875807,50
2008-03-31,2008-02-29,-0.014968164808063308,50
2008-04-30,2008-03-31,0.09543793473996842,50
2008-05-30,2008-04-30,0.0479971411835462,50
2008-06-30,2008-05-30,-0.025965372116688465,50
2008-07-31,2008-06-30,-0.10918162026487764,50
2008-08-29,2008-07-31,-0.014105391367009938,50
2008-09-30,2008-08-29,-0.1817208058812011,50
2008-10-31,2008-09-30,-0.2107729889891172,50
2008-11-28,2008-10-31,-0.1195947637528128,50
2008-12-31,2008-11-28,0.005964020443937299,50
2009-01-30,2008-12-31,-0.0303557531933547,50
2009-02-27,2009-01-30,-0.10255943646883044,50
2009-03-31,2009-02-27,0.051401561573092724,50
2009-04-30,2009-03-31,0.01759304548644534,50
2009-05-29,2009-04-30,-0.0010537984589387116,50
2009-06-30,2009-05-29,0.03663772597364848,50
2009-07-31,2009-06-30,0.04508484613576558,50
2009-08-31,2009-07-31,0.019734292274578975,50
2009-09-30,2009-08-31,0.02881493898154101,50
2009-10-30,2009-09-30,-0.02646507383403413,50
