variant,n,ann_ret,vol,sharpe,max_dd,sharpe_diff,ci_low,ci_high,p_value
V5_3state_AVG_50_50,299,0.03389016722408027,0.04363872398658961,0.7766076577879517,-0.10916255681647646,,,,
V5_3state_AVG_30_70,299,0.03122094983277591,0.04042124502697598,0.7723896137276312,-0.09211460794552428,,,,
V1_blend_C_60_40,299,0.025931683905502597,0.033802629626995276,0.7671498990360552,-0.09532728209598651,,,,
V1_blend_C_55_44,299,0.024102743055897782,0.03147494354106872,0.7657755771491173,-0.0885165494485578,,,,
V1_blend_C_70_30,299,0.029589565604712233,0.03870387123112242,0.7645117830207842,-0.10887611551115584,,,,
V4_longflat_C_50_50,299,0.024540419444335937,0.032111829175361525,0.7642174262425726,-0.09426154349626903,,,,
V1_blend_C_50_50,299,0.02227380220629297,0.02925553849207646,0.7613533489505101,-0.0816817643623885,,,,
BASELINE_inertia,299,0.02227380220629297,0.02925553849207646,0.7613533489505101,-0.0816817643623885,,,,
V4_longflat_C_30_70,299,0.01813130294113386,0.024002402204837826,0.7553953469490395,-0.07202738096703065,0.011829263945593582,-0.10990449011222671,0.21346586360008188,0.483
V2_blend_AVG_70_30,299,0.029607085771920814,0.03938125954939074,0.7518064711665338,-0.10378940986703833,,,,
V2_blend_AVG_60_40,299,0.025955044128447374,0.034606362227644655,0.750007873052709,-0.08846537821157308,,,,
V7_volscaled_AVG_50_50,299,0.022545205637624,0.030187500835280993,0.7468390894841741,-0.07227021128753897,0.0032730064807279247,-0.14234416516760057,0.16547961123856766,0.91
StaticFF5_ref,299,0.04056321070234113,0.0545522605583304,0.7435660830034463,-0.15084396321734173,,,,
V2_blend_AVG_50_50,299,0.02230300248497393,0.030086313872267095,0.7413005986596567,-0.0730047465258612,-0.002265484343789481,-0.10364933796781549,0.1253373281329276,0.872
V6_topK3_blend5050,299,0.047176588628762534,0.06382486171519933,0.7391569266420807,-0.15363782969869744,,,,
V1_blend_C_40_60,299,0.018615920507083338,0.025254622083095,0.7371292449291691,-0.06794052209344259,,,,
V3_blend_B_70_30,299,0.029639209525001577,0.040228167627553685,0.7367775186633319,-0.11074473424165632,,,,
V3_blend_B_50_50,299,0.02235654207344189,0.030869027948294735,0.7242386158349022,-0.08432953887896877,,,,
V2_blend_AVG_40_60,299,0.018650960841500492,0.025954605199566116,0.7185992889544042,-0.0585966318050124,,,,
V9_holdout_50_50,299,0.022147856774326614,0.03169164117306255,0.6988548385165986,-0.07687636193950032,,,,
V6_topK3_pure,299,0.05378996655518394,0.07798628129281746,0.6897362672444545,-0.19763544696893842,,,,
V3_blend_B_30_70,299,0.015073874621882186,0.02189150644210599,0.6885718286106244,-0.057813489048739064,,,,
V6_topK4_blend5050,299,0.04038561872909699,0.058979359847020685,0.6847415576202978,-0.15505881077811579,,,,
V1_blend_C_30_70,299,0.014958038807873704,0.022098551581394787,0.6768786973562184,-0.05827310856035528,,,,
V2_blend_AVG_30_70,299,0.014998919198027053,0.022426904658585135,0.6687913212439411,-0.04513043271352413,,,,
V7_volscaled_AVG_30_70,299,0.015338003611737148,0.023708236786655467,0.6469483053404618,-0.0534943273508518,,,,
V6_topK4_pure,299,0.04020802675585284,0.06639818714662232,0.605559104604232,-0.1613820098698131,,,,
V8_MPSIF_30_70_AVG,208,0.03513017122983948,0.06155374140629375,0.5707235730474621,-0.16958651163576877,,,,
V9_holdout_30_70,299,0.014781715203120807,0.026082661065243904,0.5667257327059309,-0.0666003005428677,,,,
V8_MPSIF_50_50_AVG,208,0.05477505957413898,0.10126628521931073,0.540901243247084,-0.2735834361189676,,,,
V8_MPSIF_70_30_AVG,208,0.07441994791843848,0.1416951905493348,0.5252115306801982,-0.36964285400853836,,,,
